capable              할 수 있는, 유능한
beware               조심하다
propose              제안하다. 신청하다.
proper               적당한, 고유의
appoint              임명하다. (시간/장소 등을) 정하다
supply               공급하다. 공급
combine              결합하다. 결부시키다.
apologize            사과하다.
available            이용할 수 있는
qualify              ..에게 자격을 주다.
identify             동일시하다
claim                요구하다. 주장하다. 요구.청구
aim                  목표. 겨누다.
protect              보호하다.
attain               달성하다.
acquire              획득하다. 습득하다.
comfortable          편안한, 기분 좋은
impress              인상을 주다. 감동시키다.
prime                제일의, 주요한
evidently            명백하게
confidence           신뢰, 자신
amount               총계, 양
focus                초점, 집중시키다.
efficient            능률적인, 효과적인
bore                 실증나게 하다.
consider             숙고하다. ..로 여기다.
adapt                적응시키다.
benefit              이익, 은혜
deliver              배달하다.
forbid               금하다.
reduce               축소하다. 줄이다.
inquire              문의하다. 묻다.
sight                풍경. 시
derive               끌어내다. 유래를 찾다.
occupy               점거하다. (시간/장소를) 차지하다.
provide              공급하다.
bent                 소질, 경향, 구부러진, 결심한
possess              소유하다.
contrary             반대의, 반대, 모순
means                수단, 재산
risk                 위험, (목숨을) 걸다.
conscious            지각하고 있는, 의식하고 있는
charge               고발하다. 요금, 책임
degree               정도
favor                호의, ..에게 호의를 보이다.
obey                 ..에 따르다.
respond              ..에 대답하다. 반응하다.
steal                훔치다. 몰래 빼았다.
submit               제출하다. 복종시키다.
persist              고집하다. 계속하다.
piece                한 조각
exchange             교환하다. 교환
responsible          책임이 있는
lack                 부족, 모자라다. 부족하다.
anxious              걱정하는
avail                쓸모가 있다. 이익. 효용
practically          실제적으로, 사실상
ashamed              부끄러운
accompany            ..에 동반하다.
indifferent          무관심한, 냉담한
collect              모으다.
addition             추가
taste                미각, 맛, 시식하다. 맛보다
behalf               이익, 측
consent              동의하다, 승인하다.
similar              비슷한
accord               일치하다. 조회하다. 일치. 조화
assure               보증하다. 납득시키다.
proceed              나아가다. 계속하다.
enforce              실사하다. 강요하다.
astonish             놀라게 하다
acquaint             알려주다. 알다.
refer                언급하다. 조회하다.
respectable          존경할 만한. 훌륭한
excel                능가하다.
multiply             증가하다. 곱하다.
regard               여기다. 관계, 존
addict               몰두시키다. 중독시키다. 중독자
accustom             익숙케 하다.
respective           각자의, 각각의
imaginary            상상의, 가상의
retain               보유하다. 잊지 않고 있다.
constitute           설립하다. 구성하다.
concord              (의견의) 일치. 화합.
contribute           공헌하다. 원인이 되다.
purpose              목적
contend              주장하다. 논쟁하다.
dispose              배치하다. 처분하다.
assume               추측하다. 추정하다.
imaginable           상상할 수 있는
advance              전진하다. 전진
persuade             설득하다.
endure               참다
restore              회복하다. 부흥하다.
adhere               부착하다.
scent                향기, 향기, 냄새 맡다. 눈치채다
senior               연상의
suspicious           의심스러운, 수상쩍은
subsequent           차후의, 다음의
remove               이동시키다. 제거하다. 거리. 간격
exceed               초과하다, ..보다 뛰어나다.
concern              ..에 관계하다. 관심을 갖다. 관계, 관심
permit               허락하다.
divide               나누다.
inherit              상속하다. 유전하다.
result               결과, 결과로 이루어지다.
forbear              억제하다.
coincide             일치하다.
discern              구별하다.
prevent              방해하다. 막다.
prepare              준비하다.
utmost               최대한의, 최대 한도
relevant             관련된, 적절한
aptitude             적성
acknowledge          인정하다.
contrive             고안하다. 기획하다.
coordinate           대등하게 하다. 동등한
rely                 믿다. 의지하다.
trespass             침입하다.
estimate             평가하다. 견적하다. 평가. 견적
dominate             지배하다.
originate            시작하다. (..로부터) 생기다.
notable              주목할 만한
urge                 권하다. 강조하다.
whole                전체의, 완전한. 전체
beckon               손짓으로 부르다.
inspect              조사하다. 검사하다.
preach               설교하다.
meditate             속고하다. 명심하다
essence              본질
discriminate         구별하다. 차별하다.
preserve             보존하다. 보호하다.
coincident           일치하는, 동시의
involve              연루시키다. 포함하다.
negotiate            협상하다.
boast                자랑하다. 자랑, 허풍
allot                할당하다.
persistent           완고한, 계속적인
confident            확신하는, 자신 있는
announce             발표하다.
relieve              구조하다.
swift                빠른
spread               퍼지다. 펴다
force                힘, ..에게 강제하다.
sustain              유지하다. 지지하다.
startle              깜짝 놀라게 하다.
dispute              논쟁하다. 논
perplex              당혹케 하다.
tolerate             참다. 관대히 다루다.
remarkable           주목할 만한
peculiar             독특한, 특유의
conform              (규칙 등을) 따르다.
invert               거꾸로 하다. 뒤집다.
isolate              분리하다.
complain             불평하다. 호소하다.
obsess               (귀신.망상 등에) 사로잡히다.
prevail              우세하다. 널리 보급되다.
grant                승인하다. 주다.
resume               다시 시작하다.
diverse              다양한
distribute           분해하다. 퍼뜨리다.
adjust               조정하다. 맞추다.
minute               미세한, 상세한, 분
obvious              명백한
involved             연관된
prior                이전의
appropriate          적당한, 충당하다. 전유하다.
proclaim             선언하다.
explode              폭발하다. 뒤엎다.
endurance            인내, 지구력
recall               생각해 내다.
attach               붙이다.
indispensable        꼭 필요한
approve              찬성하다.
devise               생각해 내다. 고안하다.
commence             시작하다.
compel               억지로 ..시키다.
compete              경쟁하다.
convince             확신시키다.
prominence           돌출, 두드러짐, 탁월
prompt               신속한
affirm               단언하다. 공정하다.
grumble              불평하다.
amaze                깜짝 놀라게 하다.
concede              양보하다. 인정하다.
assign               할당하다. 임명하다.
inquiry              문의, 조회
deprive              빼앗다.
ascribe              (A를 B의) 탓으로 돌리다.
differ               다르다.
equip                ..에 설비하다.
otherwise            그렇지는 않고, 딴 방법으로
regret               후회하다. 후회
significant          중요한
oppose               반대하다.
excess               과도, 초과, 초과의
unite                결합하다.
dwell                거주하다.
share                몫, 할당, 분배하다, 공유하다.
devote               비치다. 전념하다.
infamous             악명 높은
impose               부과하다.
replace              제자리에 놓다. 대신하다.
substitute           대신하다. 바꾸다.
yield                생산하다. 산출하다.
temper               기질, 기분
reckon               계산하다. 서다. 간주하다.
weary                피로한, 싫증나는
attribute            속성, 특질. (A를 B의) 탓으로 돌리다.
bestow               주다. 수여하다.
furnish              공급하다.
cope                 대처하다. 극복하다.
indulge              만족시키다.
akin                 유사한, 동종의
access               접근, 이용할 수 있는 권리
approach             접근, 접근하다.
dependent            의존하는
inhabit              살다.
relevance            관련, 적절
concentrate          집중하다.
absorb               열중케 하다. 흡수하다.
harmonize            조화하다. 조화시키다.
partake              참가하다.
precede              ..에 선행하다.
commit               위탁하다. 범하다.
prey                 먹이, 희생, 먹이로 하다.
scope                범위, 시야
withstand            ..에 저항하다. 참다.
inflict              (상처.벌 등을) 주다.
provoke              성나게 하다. 유발시키다.
lessen               줄이다. 감소시키다.
entrust              맡기다. 위임하다.
audible              들을 수 있는
medium               매체, 중간의
respectful           경의를 표하다.
preferable           오히려 더 나은
notorious            악명 높은
proficient           숙달은, 능숙한
refrain              그만두다, 참다
yearn                그리워하다.
succession           연속, 계승
reluctant            꺼리는, 마지못해 하는
presume              추정하다.
destitute            빈곤한. ..이 없는
entitle              ..에게 자격을 주다.
dispense             분배하다. 조제하다.
consistent           일치하는, 시종일관된
convert              변화시키다. 개종자, 전향자
meddle               참견하다, 간섭하다.
consign              건네주다. 위탁하다.
dedicate             (시간.생애 등을) 바치다.
irresponsible        무책임한. 책임감이 없는 사람.
allude               언급하다.
distract             (마음.주의 등을) 흩어지게 하다.
utter                내다. 발언하다. 완전한. 전적인.
enact                (법률을) 제정하다. 공연하다.
preside              사회를 보다. 관장하다.
halfway              중간의, 중간에
endow                ..에게 주다. 부여하다.
infirm               허약한. 우유 부단한
unanimous            만장일치의
perceive             지각하다. ..을 눈치채다.
stimulate            자극하다. 격리하다.
decline              쇠하다. 기울다. 쇠퇴. 경사
pant                 숨차다. 헐덕거리다.
defend               방어하다. 변호하다.
exclusive            배타적인, 독점적인
reproach             비난하다. 비난, 질책
extract              추출물. ..로부터 추출하다.
coherent             시종 일관한, 응집성의
surpass              ..보다 낫다. ..을 넘다.
irrelevant           부적절한, 무관계한
defy                 ..에 도전하다. 문제삼지 않다.
exert                노력하다.
diffuse              (지식 등을) 퍼뜨리다. 확산시키다. 널리 퍼진
allege               주장하다. 단언하다.
imaginative          상상력이 풍부한
subtract             (..로부터) 빼다.
soul                 영혼, 사람
elaborate            공들여 만들다. 공들인
release              해방하다. 자유롭게 하다. 해방
infect               ..에 감염시키다.
contemplate          속고하다.
subdue               정복하다. 억제하다.
discard              버리다. 버림받는 것(사람)
evade                피하다.
eligible             적격의, 자격이 되는
momentary            순간의, 시시각각의
valid                유효한, 정당한
revolve              회전하다.
quest                탐구
reside               살다. 존재하다.
inherent             타고난, 고유의
recollect            생각해 내다
resource             수단. 자원. 기지
prominent            저명한, 두드러진
clue                 실마리
deduct               공제하다.
relic                유적, 유물
plunge               던져 넣다, 뛰어들다, 돌진
utterance            발성, 발언
exquisite            절묘한, 정교한
amuse                즐겁게 하다.
require              요구하다. 필요로 하다
deceive              속이다
determine            결심하다. 결정하다.
understand           이해하다.
gradually            점차로
resemble             ..와 닮다
criticize            비평하다. ..의 흠을 찾다.
reject               거절하다.
represent            묘사하다. 대표하다.
establish            설립하다. 확립하다.
despite              ..에도 불구하고.
compensate           보상하다.
quit                 그만두다.
found                설립하다.
confirm              확실히 하다.
mention              간단히 언급하다.
occur                (사건 등이) 일어나다.
appear               나타나다. ..로 보이다.
prove                증명하다.
abolish              폐지하다.
utilize              이용하다.
recover              ..에서 회복하다.
bear                 참다. 곰
encounter            우연히 만나다
save                 저장하다. 저축하다.
ponder               숙고하다.
explain              설명하다.
alternate            교대로 하다. 번갈아 하는, 교대의
ridicule             비웃다. 조소, 비웃음
visit                방문하다.
start                출발하다.
examine              조사하다.
postpone             연기하다.
sole                 유일한
finish               끝내다
despise              경멸하다.
overtake             ..을 따라잡다
breed                낳다.
emerge               나오다. 나타나다.
undergo              경험하다. (검사를) 받다.
generate             낳다. 일으키다.
compose              구성하다.
maintain             유지하다. 주장하다.
pretend              ..인체하다. 가장하다.
exhaust              다 써버리다. 피곤하게 하다.
satisfy              만족시키다.
freedom              자유, 해방
exist                존재하다. 생존하다.
thick                두꺼운, 두껍게
thin                 얇은
hire                 고용하다. 임대하다.
area                 면적, 지역
dessert              디저트, 후식
goods                상품
cheap                값이 싼
climate              기후, 풍토
lung                 폐
demand               요구하다. 수요, 요구
system               조직, 제도
damage               손해, 손해를 입다.
subway               지하철
culture              문화, 교양
traffic              교통
civilization         문명, 문화
company              회사, 동료
tax                  세금, 부담
humanity             인간성, 인류
desert               사막, 버리다
religion             종교
nature               자연, 성질
harm                 해, 손해
duty                 의무, 관세
main                 주요한
here                 여기에
disease              병
ability              능력, 재능
borrow               빌리다.
ancient              고대의
tale                 이야기
air                  공기
bow                  절하다. 인사. 절
habit                습관, 습성
baggage              수하물
society              사회
education            교육
equality             평등
fair                 공정한, 올바른
plenty               많음, 풍부한
tradition            전통, 전설
personality          개성, 인격
value                가치, 평가하다.
curiosity            호기심
aircraft             항공기
parcel               소포, 꾸러미
current              현재의
annual               1년의, 1년생 식물
infant               유아
telegraph            전보, 전보를 치다
wheel                차바퀴, 자동차 핸들
suggestion           제안
centigrade           섭시의
publish              출판하다. 발표하다.
neutral              중립의, 중립국
diet                 식품, 다이어트, (덴마크, 일본 등의) 국회(the Diet)
tariff               관세
republic             공화국
wallet               지갑
misunderstand        오해하다.
technology           과학 기술
petroleum            석유
organization         조직, 기구
press                출판물, 신문, 잡지, 누르다. 압박하다.
popularity           인기
fund                 자금, 기금
relation             관계
create               참조하다.
pavement             포장(도로)
contract             계약, 계약하다.
committee            위원회
scissors             가위
mutual               서로의, 상호 관계가 있는
income               수입, 소득
telegram             전보
manner               방법, 태도, 풍습
relative             친척, 상대적인
continent            대륙
courage              용기
atomic               원자의
aid                  원조, 돕다
shame                부끄럼, 수치
wheat                밀, 소맥
exhibition           전시회, 전시
adolescence          사춘기
routine              일상적인 일, 일과, 일상의
male                 남성
moral                도덕의, 교훈
merit                장점
minor                적은, 소수의, 미성년자
urban                도시의
research             연구, 조사, 조사하다.
argue                논쟁하다.	
odd                  홀수의, 이상한
vehicle              탈것, 전달 수단
suicide              자살
achieve              완수하다. 달성하다.
conscience           양심
possible             가능한
globe                지구, 구
trifle               사소한 일, 소홀히 다루다
apparent             명백한, 눈에 보이는
thirst               갈망, 갈망하다.
consult              ..의 의견을 듣다.
term                 용어, 기간, (복)사이, 조건
proof                증명, ..에 견뎌 내는
pity                 동정
frank                솔직한, 명백한
educate              교육하다.
cure                 치료, 치료법, 치료하다.
bloom                꽃, 꽃이 피다.
esteem               존경, 평가, 존경하다.
aware                깨닫고, 의식하고
loss                 손해, 손실
average              평균
adult                성인
prize                상
viewpoint            관점, 견해
tough                튼튼한, 다루기 힘든
cheat                속이다.
talent               재능
sacrifice            희생, 제물, 희생하다.
transfer             이동하다. 이동
injure               상처를 입히다.
artificial           인공의
crisis               위기
debt                 빚, 부채
attitude             태도
accurate             정확한
majority             대다수
pressure             압력, 압박
residence            주택, 주거
fuel                 연료, ..에 연료를 공급하다.
intellect            지성
cause                원인, 야기하다.
attack               공격, 공격하다.
experience           경험, 경험하다.
absolute             절대의
personal             개인적인
expensive            비싼
social               사회적인
negative             부정의, 소극적인
comedy               희극
general              일반적인, 전체적인
biography            전기, 일대기
role                 역할
opportunity          기회
waste                낭비, 폐기물
chest                가슴
contact              접촉, 연락하다.
nod                  끄덕이다. 고개를 끄덕여 인사하다. 목례
fur                  모피
innocent             무죄의, 순진한
bride                신부
cell                 세포, 독방
liberty              자유
tragedy              비극
individual           개인의, 개인
order                명령, 순서, 질서, 명령하다. 주문하다.
basis                기초
flow                 흐르다. 밀물, 유입
experiment           실험, 실험하다.
tool                 도구
advantage            이점
justice              정의, 공정
entertain            환대하다. 즐겁게 하다.
extend               확장하다. 연장하다.
enterprise           기업, 진취적인 정신
solid                고체, 고체의, 견고한
plague               질병, 전염병, 괴롭히다.
obstruct             방해하다.
autobiography        자서전
congest              넘치게 하다. 붐비다.
fasten               고정하다. 채우다.
commodity            상품, 일용품
depict               묘사하다.
obligation           의무
postwar              전후의
thrift               절약
interior             내부, 실내, 내부의
frugal               절약하는
optimistic           낙관적인
positive             긍정적인, 적극적인
nephew               남자조카
occupation           직업, 점령
destiny              운명
liquid               액체
glance               힐긋 보다, 대충 보다.
irony                풍자, 반어법
vapor                증기
rural                시골의, 지방의
quality              질, 특질
collide              충돌하다.
midst                중앙, 한가운데
defeat               쳐부수다.
feature              특징, 용모
inferior             열등한
ancestor             조상, 선조
prose                산문
literary             문학의, 문학적인
humble               겸손한, 비천한, 낮추다.
fault                결점, 과실
microscope           현미경
complete             완성하다. 완전한
transaction          처리, 취급
simultaneous         동시의
aviation             비행, 항공
commemorate          기념하다.
portable             휴대용의
register             등록, 등록하다.
salute               인사, 인사하다. 절하다.
pedestrian           보행자, 도보의
eruption             (화산 등의)폭발
descendant           자손
scold                꾸짖다.
immortal             불사의, 불멸의
nutrition            영양, 음식물
vote                 투표, 투표하다.
feminine             여자의, 여자다운
applicant            지원자
proposal             제안, 신청
exclude              제의하다.
verbal               언어의, 구두의
missing              행방불명의
promising            유망한
improve              개선하다. 진보하다.
prescribe            규정하다. 처방하다.
selfish              이기적인
starvation           아사, 기아
moisture             습기
fee                  요금, 수수료, 보수
semester             (2학기제의) 학기
despair              절망, 절망하다.
labor                노동, 열심히 일하다.
monthly              월간의, 매달의
shortage             부족
Orient               동양
posterity            자손
estate               재산, 지위
appreciate           인정하다. 평가하다. 감상하다.
property             재산, 특성
tendency             경향
industry             산업, 공업, 근면
equivalent           동등한 것, 동등한
astronaut            우주 비행사
harvest              수확하다. 수확. 추수
probability          있음직함, 가망, 확률
conceit              자부심, 자만심
vocation             천직, 직업
irrational           불합리한, 이성이 없는
executive            간부, 경영진, 실행의
satellite            위성
destination          목적지
fade                 사라지다. 바래다.
temperance           자제, 절제
gain                 얻다. 이득, 이익
comfort              위로, 편향
minority             소수파
drastic              격렬한, 철저한
scatter              흩뿌리다. 살포
wholesome            건강에 좋은, 유익한
mortal               죽을 운명의, 인간의, 인간
adolescent           청년기의, 청년기
possibility          가능성
practice             실행, 습관, 실행하다. 연습하다.
award                수여, 수여하다. 상
pessimism            비관(주의)
satire               풍자
volcano              화산
ebb                  썰물, 간조
architecture         건축, 건축물
nevertheless         그럼에도 불구하고
competition          경쟁
throng               군중, 인파, 모여들다.
intent               의도, 열중해 있는
grateful             감사하는
content              내용, 만족하는
extent               정도, 범위
description          기술, 묘사
fancy                공상, 상상, 상상하다.
guarantee            보증, 보증하다. 확언하다.
alter                바꾸다. 변경하다.
particular           특별한, 상세한, 항목, 상세
site                 부지, 위치
previous             앞의, 이전의
illustrate           설명하다. 삽화를 넣다.
vice                 악덕
survey               조사, 조사하다.
muscle               근육, 완력
protest              항의, 항의하다.
avoid                피하다.
lean                 기대다. 야윈
token                표시, 상징
extreme              극단. 극단적인, 극도의
detail               세부, 상세, 상세히 기술하다.
participate          참가하다.
circumstance         환경, 상황
compliment           칭찬, 찬사
agency               기능, 대리점
interval             간격
sensitive            건강한
purchase             사다, 구입하다. 구입
thermometer          온도계
deliberate           신중한, 고의의, 숙고하다.
instinct             본능
institute            설립하다. 학회, 연구소
procedure            진행, 절차
inferiority          열등, 하위
inevitable           피할 수 없는
punctual             시간을 잘 지키는
resort               휴양지, 호소하다.
Arctic               북극의, 북극권
Antarctic            남극의, 남극권
pessimist            비관주의자
probable             있을 법한, 있음직한
pile                 퇴적하다. 더미
vertical             수직의 세로의
polite               예의 바른
maximum              최대, 최대의
audience             청중, 추종자
vacuum               진공
elementary           기본의, 초등학교의
multiple             다수의, 북합의
planet               행성
wealth               부, 재산
temperature          온도
anniversary          기념일
tidy                 단정한, 정돈된
variety              변화, 다양성
ceremony             의식, 의례
humane               인간적인
principle            주의, 원리
faint                기절하다. 졸도하다. 희미한.
spectator            구경꾼, 관객, 방관자
remark               주목, 의견, 의견을 말하다.
female               여성, 여성의
suitable             적합한, 어울리는
mischief             재난, 해악
influence            영향, 영향을 미치다.
insult               모욕, 모욕하다.
document             문서, 기록하다.
character            성격, 문자, 인물
flatter              ..에게 아첨하다.
virtue               미덕, 장점
cling                달라붙다, 집착하다.
operate              조작하다. 수술하다. 작동하다.
optimist             낙천가
raise                올리다. 모금하다. 키우다.
laboratory           실험실, 연구실
exhibit              전시하다. 보이다. 전시품
spiritual            정신적인
envelop              포장하다. 싸다.
stimulus             자극
separate             분리하다. 분리된
appetite             식욕
quantity             양
overseas             해외로
summarize            요약하다.
enclose              둘러싸다. 포위하다.
inhabitant           주민, 거주자
physical             육체의, 물질의, 물질적인
label                꼬리표, 라벨, 라벨을 붙이다.
strict               엄격한, 엄한
optimism             낙관주의
cooperate            협력하다. 합동하다.
instructive          교육적인
impartial            공평한
snob                 속물
gravitation          중력, 인력
patriotism           애국심
affluent             부유한, 풍족한
initiative           발의, 창시, 진취적 기상, 창시의
diminish             감소하다.
valuable             귀중한, 값비싼.
hospitality          환대
masculine            남성의
vogue                유행
qualification        자격, 권한
adore                숭배하다.
contemporary         현대의, 동시대의, 동시대인
erupt                (용암.화산재를) 분출하다.
domestic             국내의, 길들여진
objective            객관적인
partial              부분적인, 불공평한
appliance            전기기구
consciousness        의식, 지각
sniff                킁킁거리며 냄새 맡다. 냄새 맡음, 코웃음
priority             우선(권)
regime               정권, 통치 양식
colleague            동료
restrain             억제하다. 제지하다.
sympathize           동정하다.
commitment           위탁, 공약
sultry               무더운, 찌는 듯이 더운
prescription         처방(전)
adjourn              연기하다.
abstain              그만두다. 삼가다.
discount             할인, 할인하다.
equator              적도
murmur               속삭이다. 불평하다.
interfere            방해하다. 간섭하다.
input                입력, 투입, 입력하다.
casualty             (사고, 재해등의) 사상자
facility             쉬움, 관리, 설비
discrimination       구별, 차별
regulate             규제하다. 조절하다.
involuntary          무의식적인, 본의 아닌
install              설치하다.
repent               후회하다.
contradictory        모순된
hygiene              위생(학)
statistics           통계
coeducation          남녀공학
perpendicular        수직의
longitude            경도
sanitary             위생의, 위생적인
eption               선택(권)
surplus              여분, 나머지, 나머지의
foretell             예언하다.
pledge               서약, 맹세하다.
obstinate            고집센
surrender            항복하다.
dignity              위엄, 존엄
characteristic       특색을 이루는, 특질의, 특색, 특징
drought              가뭄, 한발
accelerate           가속하다.
forefather           선조
expel                추방하다
correct              정정하다. 고치다. 바른
literal              문자의, 글자 그대로의
distinction          구별, 특성
sympathy             동정, 공감
latitude             위도
welfare              복지, 후생
complicated          복잡한
consensus            (의견의) 일치
verse                운문, 시
declare              선언하다. 발표하다.
transition           변천, 변이
perspiration         발한, 땀, 노력
blossom              (나무의) 꽃, 개화, 꽃이 피다.
patent               특허, 특허의, 명백한
asset                재산, 자산
contagion            접촉 전염, 전염병
bureau               사무소, 안내소
skyscraper           고층건물, 마천루
eloquent             웅변의, 달변인
maternal             어머니의
consequence          결과, 중대성
corrupt              부패한, 타락한, 타락시키다.
primeval             원시의, 초기의
manual               소책자, 설명서
outskirts            교외
antipathy            반감, 혐오
indigestion          소화불량
innumerable          무수한, 설 수 없는
amenity              (장소, 기후 등이) 쾌적함
abuse                남용하다. 학대하다. 남용, 학대
superfluous          여분의, 남는
memorandum           비망록, 매모, 각서
decrease             감소, 축소, 감소하다. 줄다.
conscientious        양심적인, 성실한
victim               희생, 희생자
refuge               피난, 피난소
compatible           양립하는, 모순되지 않는
swear                선서하다. 맹세하다.
adopt                채용하다. 양자로 삼다.
garbage              쓰레기, 찌꺼기
accommodate          숙박시키다. 편의를 도모하다.
bully                못살게 굴다. 위협하다.
compound             합성물, 합성의, 합성하다.
pretext              구실, 핑계
arbitrary            임의의
snobbery             속물근성
device               고안, 장치
intention            의지, 의도
recommend            추천하다.
constitution         헌법, 구성, 설
congress             (미국의) 의회, 국회
parliament           의회, 국회
session              회기
nation               국민, 국가, 민족
propaganda           (주의.신념의) 선전
nationality          국적, 국민성
sovereign            군주, 주권자, 주권이 있는
president            대통령, 사장
minister             장관, 성직자
government           정부, 통치
cabinet              내각, 내각의
budget               예산, 예산안
policy               정책, 방책
suffrage             선거권, 투표권
candidate            후보자, 지원자
representative       대표자, (미국의) 하원의원, 대표적인
ambassador           대사
embassy              대사관
diplomacy            외교(술)
diplomatic           외교의
diplomat             외교관
autonomy             자치, 자치권
governor             통치자, 주지사
citizen              시민, 민간인
mayor                시장
domain               영토, 영역
territory            영토
treaty               조약, 협정
reign                통치, 지배, 통치하다, 지배하다.
ally                 동맹을 맺다. 동맹국, 연합국
alliance             동맹(국)
community            공동 사회, 공동체
delegate             대표자, 파견위원, 대표로 파견하다.
mission              사명, 사절(단)
revenue              소득, 세입
reform               개혁, 개혁하다.
conservative         보수적인, 보수주의의, 보수주의자.
patriotic            애국적인
tyranny              폭정, 전제정치
dictator             독재자
feudal               중세의, 봉건제의
colony               식민지
aristocracy          귀족정치, 귀족
autocracy            독재정치
tyrant               폭군, 전제군주
communism            공산주의
segregation          분리, 인종 차별
mob                  폭도, 군중
migrate              이주하다.
immigrate            (외국에서) 이주해 오다.
immigrant            이민, 이주자
emigrate             (다른나라로) 이민가다.
emigrant             이민, 이주인
emigration           이주
contaminate          오염시키다.
pollution            오염, 공해
weapon               무기
armament             장비, 군비
nuclear              핵의, 핵무기의, 핵무기
navy                 해군
military             군대의, 육군의
submarine            잠수함, 해저의
warfare              전쟁
assault              공격하다. 폭행하다. 습격, 폭행
truce                휴전
disarm               군비를 축소하다. 무장 해제하다.
disarmament          군비 축소, 무장 해제
economical           경제적인, 절약하는
financial            제정(상)의, 금융의
capitalism           자본주의
factory              공장
branch               지사, 기지, 부문
expense              비용, 지출, 지출금, 소요경비
expenditure          지출, 비용
employ               고용하다.
employer             고용주
produce              생산하다. 제품, 농산물
producer             생산자, 제작자
production           생산, 제작
fluid                유동성의, 유동체, 액체
wage                 임금, 급료
monopoly             독점, 독점권
product              산물, 생산물
output               생산고, 생산
manufacture          제조, 제품, 제조하다.
merchandise          상품
ware                 상품
regulation           규칙, 규제
wholesale            도매, 도매의, 대규모의
retail               소매, 소매하다.
transport            수송, 수송하다.
fare                 운영
insurance            보험(금)
consumption          소비
consumer             소비자
commerce             상업, 무역
administer           관리하다. 지배하다.
sale                 판매. 매상
advertise            광고하다.
advertisement        광고
consume              소비하다.
currency             통화, 통용, 유통
circulate            순환하다.
circulation          순환, 발행부수
periodical           정기 간행물, 잡지, 정기적인
invest               투자하다.
investment           투자
warrant              보증하다. 근거, 보증
transact             (업무,교섭 등을) 집행하다.
profit               이익, 이익을 내다
deficit              부족, 적자
bankrupt             파산한
unemployment         실업, 실적
recession            경기 후퇴
depression           불경기, 우울
export               수출, 수출하다.
import               수입, 수입하다.
friction             마찰
sanction             인기, 제재
agent                대리인
judicial             사법의
legislation          입법, 법률
decree               법령, 판결, 정하다. 판결하다.
judge                판가름하다. 재판하다. 재판관
trial                재판, 시험
legitimate           합법의
legal                합법의, 법률의
illegal              불법의, 비합법의
violate              어기다, 깨다
crime                죄, 범죄
juvenile             청소년의
affair               사건, 일
murderer             살인자
criminal             법인, 범죄의
prisoner             죄수, 포로
detain               억류하다. 붙들다.
appeal               호소, 매력, 호소하다.
suit                 소송, 한 벌, 적합하다. 어울리다.
prosecution          기소, 실행, 수행
attest               입증하다.
client               (변호사 등의) 의뢰인, 고객
summon               (법원 등에) 출두를 명하다, 소환하다.
witness              증인, 목격자, 목격하다.
testify              증언하다. 입증하다.
testimony            증언, 증거, 증명
evidence             증거
guilty               유죄의
